                              DODANGASLANDA           
                              LAT:  7.57N    LON: 80.53E    ELEV:  165.0M
                              Precip, daily   
                              Millimeters         
Date,Precip
2009-03-28,4.5
2009-03-29,2.4
2009-03-30,.0
2009-03-31,.0
2009-04-01,-9.9
2009-04-02,-9.9
2009-04-03,-9.9
2009-04-04,-9.9
2009-04-05,-9.9
2009-04-06,-9.9
2009-04-07,-9.9
2009-04-08,-9.9
2009-04-09,-9.9
2009-04-10,-9.9
2009-04-11,-9.9
2009-04-12,-9.9
2009-04-13,-9.9
2009-04-14,-9.9
2009-04-15,-9.9
2009-04-16,-9.9
2009-04-17,-9.9
2009-04-18,-9.9
2009-04-19,-9.9
2009-04-20,-9.9
2009-04-21,-9.9
2009-04-22,-9.9
2009-04-23,-9.9
2009-04-24,-9.9
2009-04-25,-9.9
2009-04-26,-9.9
2009-04-27,-9.9
2009-04-28,-9.9
2009-04-29,-9.9
2009-04-30,-9.9
2009-05-01,6.8
2009-05-02,.0
2009-05-03,.0
2009-05-04,.0
2009-05-05,44.6
2009-05-06,.0
2009-05-07,.0
2009-05-08,.0
2009-05-09,.0
2009-05-10,.0
2009-05-11,.0
2009-05-12,.0
2009-05-13,.0
2009-05-14,.0
2009-05-15,.0
2009-05-16,.0
2009-05-17,.0
2009-05-18,.0
2009-05-19,48.2
2009-05-20,36.3
2009-05-21,18.8
2009-05-22,9.8
2009-05-23,4.9
2009-05-24,10.4
2009-05-25,.0
2009-05-26,.8
2009-05-27,.0
2009-05-28,.0
2009-05-29,.0
2009-05-30,.0
2009-05-31,3.4
2009-06-01,.0
2009-06-02,.0
2009-06-03,.0
2009-06-04,.5
2009-06-05,7.5
2009-06-06,.0
2009-06-07,4.0
2009-06-08,.0
2009-06-09,.0
2009-06-10,.0
2009-06-11,2.8
2009-06-12,.0
2009-06-13,7.2
2009-06-14,.0
2009-06-15,.0
2009-06-16,2.4
2009-06-17,1.3
2009-06-18,.8
2009-06-19,.5
2009-06-20,.0
2009-06-21,.0
2009-06-22,1.3
2009-06-23,.7
2009-06-24,.0
2009-06-25,4.7
2009-06-26,8.3
2009-06-27,1.8
2009-06-28,3.2
2009-06-29,2.3
2009-06-30,4.3
2009-07-01,6.1
2009-07-02,1.5
2009-07-03,.0
2009-07-04,.0
2009-07-05,.0
2009-07-06,.0
2009-07-07,.0
2009-07-08,.0
2009-07-09,.0
2009-07-10,.0
2009-07-11,.0
2009-07-12,.0
2009-07-13,.6
2009-07-14,5.2
2009-07-15,2.1
2009-07-16,12.2
2009-07-17,6.4
2009-07-18,.0
2009-07-19,.0
2009-07-20,.0
2009-07-21,.0
2009-07-22,.0
2009-07-23,.0
2009-07-24,.0
2009-07-25,.0
2009-07-26,.0
2009-07-27,.0
2009-07-28,.0
2009-07-29,.0
2009-07-30,.0
2009-07-31,.7
2009-08-01,.0
2009-08-02,3.0
2009-08-03,.0
2009-08-04,.0
2009-08-05,.0
2009-08-06,.0
2009-08-07,.0
2009-08-08,.0
2009-08-09,.0
2009-08-10,.0
2009-08-11,.0
2009-08-12,.0
2009-08-13,.9
2009-08-14,1.0
2009-08-15,.0
2009-08-16,62.6
2009-08-17,1.6
2009-08-18,.0
2009-08-19,13.7
2009-08-20,2.3
2009-08-21,5.0
2009-08-22,.0
2009-08-23,.6
2009-08-24,1.8
2009-08-25,.0
2009-08-26,.0
2009-08-27,.0
2009-08-28,.5
2009-08-29,5.6
2009-08-30,.0
2009-08-31,4.9
2009-09-01,-9.9
2009-09-02,-9.9
2009-09-03,-9.9
2009-09-04,-9.9
2009-09-05,-9.9
2009-09-06,-9.9
2009-09-07,-9.9
2009-09-08,-9.9
2009-09-09,-9.9
2009-09-10,-9.9
2009-09-11,-9.9
2009-09-12,-9.9
2009-09-13,-9.9
2009-09-14,-9.9
2009-09-15,-9.9
2009-09-16,-9.9
2009-09-17,-9.9
2009-09-18,-9.9
2009-09-19,-9.9
2009-09-20,-9.9
2009-09-21,-9.9
2009-09-22,-9.9
2009-09-23,-9.9
2009-09-24,-9.9
2009-09-25,-9.9
2009-09-26,-9.9
2009-09-27,-9.9
2009-09-28,-9.9
2009-09-29,-9.9
2009-09-30,-9.9
2009-10-01,16.6
2009-10-02,8.5
2009-10-03,7.3
2009-10-04,.0
2009-10-05,.0
2009-10-06,.0
2009-10-07,.0
2009-10-08,.0
2009-10-09,.0
2009-10-10,.0
2009-10-11,.0
2009-10-12,55.0
2009-10-13,15.8
2009-10-14,14.9
2009-10-15,.0
2009-10-16,.0
2009-10-17,.0
2009-10-18,27.1
2009-10-19,5.8
2009-10-20,.0
2009-10-21,31.7
2009-10-22,.0
2009-10-23,.0
2009-10-24,.0
2009-10-25,.0
2009-10-26,.0
2009-10-27,.0
2009-10-28,1.3
2009-10-29,33.5
2009-10-30,.0
2009-10-31,2.6
2009-11-01,-9.9
2009-11-02,-9.9
2009-11-03,-9.9
2009-11-04,-9.9
2009-11-05,-9.9
2009-11-06,-9.9
2009-11-07,-9.9
2009-11-08,-9.9
2009-11-09,-9.9
2009-11-10,-9.9
2009-11-11,-9.9
2009-11-12,-9.9
2009-11-13,-9.9
2009-11-14,-9.9
2009-11-15,-9.9
2009-11-16,-9.9
2009-11-17,-9.9
2009-11-18,-9.9
2009-11-19,-9.9
2009-11-20,-9.9
2009-11-21,-9.9
2009-11-22,-9.9
2009-11-23,-9.9
2009-11-24,-9.9
2009-11-25,-9.9
2009-11-26,-9.9
2009-11-27,-9.9
2009-11-28,-9.9
2009-11-29,-9.9
2009-11-30,-9.9
2009-12-01,37.1
2009-12-02,28.5
2009-12-03,1.8
2009-12-04,.0
2009-12-05,.0
2009-12-06,.7
2009-12-07,7.6
2009-12-08,16.8
2009-12-09,20.0
2009-12-10,9.8
2009-12-11,8.6
2009-12-12,32.3
2009-12-13,9.1
2009-12-14,32.9
2009-12-15,3.1
2009-12-16,.0
2009-12-17,.0
2009-12-18,.0
2009-12-19,.0
2009-12-20,2.6
2009-12-21,2.3
2009-12-22,.7
2009-12-23,.0
2009-12-24,.0
2009-12-25,12.0
2009-12-26,5.4
2009-12-27,32.5
2009-12-28,16.8
2009-12-29,.0
2009-12-30,.0
2009-12-31,.0
2010-01-01,.0
2010-01-02,.0
2010-01-03,6.9
2010-01-04,.0
2010-01-05,.0
2010-01-06,.0
2010-01-07,.0
2010-01-08,9.4
2010-01-09,.0
2010-01-10,.0
2010-01-11,.0
2010-01-12,4.7
2010-01-13,.0
2010-01-14,.0
2010-01-15,.7
2010-01-16,13.6
2010-01-17,4.2
2010-01-18,.0
2010-01-19,.0
2010-01-20,.0
2010-01-21,.0
2010-01-22,.0
2010-01-23,.0
2010-01-24,.0
2010-01-25,.0
2010-01-26,.0
2010-01-27,.0
2010-01-28,.0
2010-01-29,.0
2010-01-30,.0
2010-01-31,.0
2010-02-01,.0
2010-02-02,.0
2010-02-03,.0
2010-02-04,.0
2010-02-05,.0
2010-02-06,.0
2010-02-07,.0
2010-02-08,.0
2010-02-09,.0
2010-02-10,2.8
2010-02-11,.0
2010-02-12,.0
2010-02-13,.0
2010-02-14,.0
2010-02-15,.0
2010-02-16,4.9
2010-02-17,.0
2010-02-18,.0
2010-02-19,.0
2010-02-20,.0
2010-02-21,.0
2010-02-22,.0
2010-02-23,.0
2010-02-24,.0
2010-02-25,.0
2010-02-26,.0
2010-02-27,.0
2010-02-28,.0
2010-03-01,.0
2010-03-02,.0
2010-03-03,.0
2010-03-04,.0
2010-03-05,.0
2010-03-06,.0
2010-03-07,.0
2010-03-08,2.4
2010-03-09,.0
2010-03-10,.0
2010-03-11,.0
2010-03-12,.0
2010-03-13,.0
2010-03-14,.0
2010-03-15,.0
2010-03-16,.0
2010-03-17,.0
2010-03-18,.0
2010-03-19,.0
2010-03-20,.0
2010-03-21,.0
2010-03-22,.0
2010-03-23,.0
2010-03-24,43.2
2010-03-25,.0
2010-03-26,32.2
2010-03-27,38.6
2010-03-28,.0
2010-03-29,.0
2010-03-30,6.9
2010-03-31,.0
2010-04-01,.0
2010-04-02,.0
2010-04-03,.0
2010-04-04,24.8
2010-04-05,1.6
2010-04-06,1.6
2010-04-07,3.0
2010-04-08,.0
2010-04-09,.0
2010-04-10,3.9
2010-04-11,.0
2010-04-12,.0
2010-04-13,.0
2010-04-14,.0
2010-04-15,13.0
2010-04-16,6.8
2010-04-17,.0
2010-04-18,.0
2010-04-19,.0
2010-04-20,.0
2010-04-21,.0
2010-04-22,.0
2010-04-23,8.9
2010-04-24,106.4
2010-04-25,12.3
2010-04-26,14.4
2010-04-27,2.5
2010-04-28,15.2
2010-04-29,.0
2010-04-30,121.9
2010-05-01,.0
2010-05-02,.0
2010-05-03,.6
2010-05-04,.0
2010-05-05,.0
2010-05-06,1.9
2010-05-07,80.5
2010-05-08,37.6
2010-05-09,3.6
2010-05-10,.0
2010-05-11,66.0
2010-05-12,8.9
2010-05-13,.0
2010-05-14,1.1
2010-05-15,.0
2010-05-16,.0
2010-05-17,2.8
2010-05-18,8.3
2010-05-19,5.1
2010-05-20,5.7
2010-05-21,.0
2010-05-22,3.7
2010-05-23,.0
2010-05-24,3.7
2010-05-25,2.2
2010-05-26,.0
2010-05-27,.0
2010-05-28,.0
2010-05-29,.0
2010-05-30,.0
2010-05-31,.0
2010-06-01,.0
2010-06-02,.0
2010-06-03,.0
2010-06-04,.0
2010-06-05,.0
2010-06-06,.0
2010-06-07,3.2
2010-06-08,.0
2010-06-09,13.9
2010-06-10,3.6
2010-06-11,22.9
2010-06-12,7.2
2010-06-13,.5
2010-06-14,12.1
2010-06-15,.0
2010-06-16,.0
2010-06-17,.0
2010-06-18,.0
2010-06-19,.0
2010-06-20,.0
2010-06-21,8.5
2010-06-22,6.3
2010-06-23,23.3
2010-06-24,.0
2010-06-25,.0
2010-06-26,.0
2010-06-27,.0
2010-06-28,.6
2010-06-29,11.6
2010-06-30,17.7
2010-07-01,1.9
2010-07-02,1.5
2010-07-03,7.1
2010-07-04,.5
2010-07-05,.0
2010-07-06,.0
2010-07-07,.0
2010-07-08,147.1
2010-07-09,15.9
2010-07-10,18.7
2010-07-11,1.9
2010-07-12,.0
2010-07-13,.0
2010-07-14,4.8
2010-07-15,9.5
2010-07-16,11.2
2010-07-17,13.7
2010-07-18,1.4
2010-07-19,.9
2010-07-20,.0
2010-07-21,.0
2010-07-22,.0
2010-07-23,.0
2010-07-24,.0
2010-07-25,.0
2010-07-26,.0
2010-07-27,.0
2010-07-28,.0
2010-07-29,.0
2010-07-30,.0
2010-07-31,.0
2010-08-01,.0
2010-08-02,.0
2010-08-03,4.7
2010-08-04,.0
2010-08-05,.0
2010-08-06,.0
2010-08-07,.0
2010-08-08,.0
2010-08-09,.0
2010-08-10,.0
2010-08-11,.0
2010-08-12,.0
2010-08-13,.0
2010-08-14,.0
2010-08-15,34.0
2010-08-16,.0
2010-08-17,.0
2010-08-18,.0
2010-08-19,27.6
2010-08-20,27.5
2010-08-21,17.1
2010-08-22,.0
2010-08-23,.0
2010-08-24,.0
2010-08-25,.0
2010-08-26,.0
2010-08-27,.0
2010-08-28,7.8
2010-08-29,22.6
2010-08-30,9.2
2010-08-31,.0
2010-09-01,.0
2010-09-02,.0
2010-09-03,.0
2010-09-04,.0
2010-09-05,.0
2010-09-06,.0
2010-09-07,.0
2010-09-08,.0
2010-09-09,.0
2010-09-10,4.7
2010-09-11,.0
2010-09-12,.0
2010-09-13,2.6
2010-09-14,.0
2010-09-15,1.7
2010-09-16,.0
2010-09-17,.0
2010-09-18,.0
2010-09-19,19.4
2010-09-20,8.9
2010-09-21,4.2
2010-09-22,3.0
2010-09-23,1.2
2010-09-24,2.1
2010-09-25,.0
2010-09-26,.0
2010-09-27,1.8
2010-09-28,63.7
2010-09-29,2.8
2010-09-30,73.9
2010-10-01,76.2
2010-10-02,21.6
2010-10-03,6.3
2010-10-04,1.2
2010-10-05,12.4
2010-10-06,35.9
2010-10-07,5.5
2010-10-08,12.9
2010-10-09,3.5
2010-10-10,.0
2010-10-11,.0
2010-10-12,.0
2010-10-13,.0
2010-10-14,.0
2010-10-15,.0
2010-10-16,.0
2010-10-17,12.4
2010-10-18,6.1
2010-10-19,.0
2010-10-20,.0
2010-10-21,.0
2010-10-22,.6
2010-10-23,.0
2010-10-24,.0
2010-10-25,.0
2010-10-26,.0
2010-10-27,.0
2010-10-28,.0
2010-10-29,37.6
2010-10-30,.0
2010-10-31,7.1
2010-11-01,.0
2010-11-02,.0
2010-11-03,.0
2010-11-04,30.5
2010-11-05,31.1
2010-11-06,6.1
2010-11-07,8.3
2010-11-08,.0
2010-11-09,1.4
2010-11-10,39.2
2010-11-11,.5
2010-11-12,30.0
2010-11-13,.0
2010-11-14,.0
2010-11-15,.0
2010-11-16,.0
2010-11-17,37.2
2010-11-18,33.1
2010-11-19,.8
2010-11-20,.0
2010-11-21,103.1
2010-11-22,2.4
2010-11-23,17.7
2010-11-24,19.0
2010-11-25,12.3
2010-11-26,41.6
2010-11-27,.0
2010-11-28,4.4
2010-11-29,2.9
2010-11-30,14.6
2010-12-01,24.6
2010-12-02,41.3
2010-12-03,18.0
2010-12-04,94.9
2010-12-05,12.9
2010-12-06,3.7
2010-12-07,10.9
2010-12-08,8.2
2010-12-09,.0
2010-12-10,.5
2010-12-11,.0
2010-12-12,.0
2010-12-13,.0
2010-12-14,36.9
2010-12-15,.0
2010-12-16,8.1
2010-12-17,.0
2010-12-18,.0
2010-12-19,.0
2010-12-20,.0
2010-12-21,28.3
2010-12-22,45.0
2010-12-23,44.3
2010-12-24,7.0
2010-12-25,.0
2010-12-26,.6
2010-12-27,.0
2010-12-28,.5
2010-12-29,16.9
2010-12-30,6.3
2010-12-31,.0
2011-01-01,7.2
2011-01-02,.0
